Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,InvestmentType,Amount in USD,Year
1,2020-09-01,byju’s,e-tech,e-learning,bengaluru,tiger global management,private equity round,200000000.0,2020
2,2015-01-01,shuttl,transportation,app based shuttle service,gurugram,susquehanna growth equity,series c,8048394.0,2015
3,2020-09-01,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series b,18358860.0,2020
4,2020-02-01,https://www.wealthbucket.in/,fintech,online investment,new delhi,vinod khatumal,pre-series a,3000000.0,2020
5,2020-02-01,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed round,1800000.0,2020
6,2015-01-01,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series a,9000000.0,2015
7,2020-10-01,zomato,hospitality,online food delivery platform,gurugram,ant financial,private equity round,150000000.0,2020
8,2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series a,6000000.0,2019
9,2019-06-12,cardekho,e-commerce,automobile,gurugram,ping an global voyager fund,series d,70000000.0,2019
10,2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,"mumbai angels, ravikanth reddy",seed,50000000.0,2019
11,2015-01-01,rivigo,technology,logistics services and solutions,gurugram,"saif partners, spring canter investment ltd.",series f,20000000.0,2015
12,2015-01-01,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,"paytm, nptk, sabre partners and neoplux",series c,12000000.0,2015
13,2015-01-01,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series e,30000000.0,2015
14,2015-01-01,incred,finance,non-banking financial company,mumbai,Undisclosed,debt funding,5900000.0,2015
15,2015-01-01,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed round,2000000.0,2015
16,2019-11-12,rein games,gaming,real money based gaming startup,new delhi,manipal education and medical group (memg),seed round,50000000.0,2019
17,2015-01-01,lenskart.com,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,series g,231000000.0,2015
18,2015-01-01,freshworks,software,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",series h,150000000.0,2015
19,2015-01-01,misters,health and wellness,men's health and wellness brand,gurugram,"sauce.vc, rainforest ventures",series b,486000.0,2015
